"WAVEID","WAVEDTLID","PRINTDATE","SCATTERFINPACKS","WHOLEFINPACKS"
"4418139","9241032","2024/1/5 18:08:28","0","8"
"4418372","9241491","2024/1/5 18:46:41","1","0"
"4418924","9242272","2024/1/8 8:46:18","1","0"
"4419209","9242815","2024/1/8 9:06:01","0","8"
"4419207","9242813","2024/1/8 9:11:04","0","2"
"4419219","9242825","2024/1/8 9:11:52","0","3"
"4419210","9242816","2024/1/8 9:12:18","0","3"
"4419202","9242808","2024/1/8 9:15:05","0","2"
"4419208","9242814","2024/1/8 9:17:27","0","1"
"4419287","9242961","2024/1/8 9:22:18","1","0"
"4419290","9242965","2024/1/8 9:28:41","0","4"
"4419220","9242826","2024/1/8 9:30:05","0","3"
"4419291","9242966","2024/1/8 9:30:42","0","5"
"4419203","9242809","2024/1/8 9:45:12","1","0"
"4419215","9242821","2024/1/8 9:46:25","1","0"
"4419211","9242817","2024/1/8 9:47:02","1","9"
"4419214","9242820","2024/1/8 9:48:25","1","0"
"4419216","9242822","2024/1/8 9:50:11","1","2"
"4419213","9242819","2024/1/8 9:53:08","1","0"
"4419217","9242823","2024/1/8 9:53:40","1","0"
"4419283","9242952","2024/1/8 9:54:19","1","0"
"4419221","9242827","2024/1/8 9:54:57","1","0"
